match	n	tag	per_adj	base	pref	revised_match
diperuntukkan	2982	diperuntukkan<x>_X--				
diperuntukan	754	diperuntukan<x>_X--				
terperanjat	280	terperanjat<x>_X--				
dipermukaan	211	dipermukaan<x>_X--				
terperangah	211	terperangah<x>_X--				
diperjalanan	195	diperjalanan<x>_X--				
dipertandingan	147	dipertandingan<x>_X--				
diperusahaan	138	diperusahaan<x>_X--				
mempersepsikan	116	mempersepsikan<x>_X--				
diperairan	114	diperairan<x>_X--				
mempersunting	113	mempersunting<x>_X--				
dipersidangan	99	dipersidangan<x>_X--				
memperihatinkan	91	memperihatinkan<x>_X--				
diperbatasan	86	diperbatasan<x>_X--				
dipermak	79	dipermak<x>_X--				
dipersunting	79	dipersunting<x>_X--				
memperuncing	79	memperuncing<x>_X--	y	runcing	mem	memperuncing
dipertengahan	66	dipertengahan<x>_X--				
mempersepsi	65	mempersepsi<x>_X--				
memperjuangan	63	memperjuangan<x>_X--				
dipertunjukan	61	dipertunjukan<x>_X--				
diperkotaan	60	diperkotaan<x>_X--				
mempertimbangan	58	mempertimbangan<x>_X--				
mempermanenkan	55	mempermanenkan<x>_X--				
memperngaruhi	53	memperngaruhi<x>_X--				
mempertunjukan	53	mempertunjukan<x>_X--				
memperlajari	52	memperlajari<x>_X--				
dipersimpangan	44	dipersimpangan<x>_X--				
mempersuasi	38	mempersuasi<x>_X--				
mempersiapakan	35	mempersiapakan<x>_X--				
diperguruan	34	diperguruan<x>_X--				
dipersonifikasikan	34	dipersonifikasikan<x>_X--				
memperhatian	33	memperhatian<x>_X--				
diperumahan	30	diperumahan<x>_X--				
diperdagangan	29	diperdagangan<x>_X--				
dipertimbangan	29	dipertimbangan<x>_X--				
diperhitungan	28	diperhitungan<x>_X--				
dipertemuan	28	dipertemuan<x>_X--				
mempermak	26	mempermak<x>_X--				
mempersiapan	26	mempersiapan<x>_X--				
diperantauan	25	diperantauan<x>_X--				
diperkiraan	25	diperkiraan<x>_X--				
memperuntukkan	25	memperuntukkan<x>_X--				
diperkiran	24	diperkiran<x>_X--				
dipertikaikan	24	dipertikaikan<x>_X--				
memperbutkan	24	memperbutkan<x>_X--				
mempertandingan	24	mempertandingan<x>_X--				
dipertangungjawabkan	23	dipertangungjawabkan<x>_X--				
dipereteli	22	dipereteli<x>_X--				
diperlihara	22	diperlihara<x>_X--				
mempertikaikan	22	mempertikaikan<x>_X--				
diperkirkan	21	diperkirkan<x>_X--				
diperkebunan	20	diperkebunan<x>_X--				
dipersentasikan	19	dipersentasikan<x>_X--				
memperioritaskan	19	memperioritaskan<x>_X--				
dipersiapakan	18	dipersiapakan<x>_X--				
diperempatan	17	diperempatan<x>_X--				
dipergunjingkan	17	dipergunjingkan<x>_X--				
diperhatian	17	diperhatian<x>_X--				
diperjuangan	17	diperjuangan<x>_X--				
dipertigaan	17	dipertigaan<x>_X--				
mempergunjingkan	17	mempergunjingkan<x>_X--				
diperbukitan	16	diperbukitan<x>_X--				
dipernis	16	dipernis<x>_X--				
mempersonifikasikan	16	mempersonifikasikan<x>_X--				
mempertimbangakan	16	mempertimbangakan<x>_X--				
dipergelangan	15	dipergelangan<x>_X--				
diperindag	15	diperindag<x>_X--				
diperuncing	15	diperuncing<x>_X--	y	runcing	di	diperuncing
memperjuangakan	15	memperjuangakan<x>_X--				
mempersipakan	15	mempersipakan<x>_X--				
diperhatiin	14	diperhatiin<x>_X--				
diperkemahan	14	diperkemahan<x>_X--				
dipersonalisasikan	14	dipersonalisasikan<x>_X--				
diperikirakan	13	diperikirakan<x>_X--				
memperleh	13	memperleh<x>_X--				
mempersentasikan	13	mempersentasikan<x>_X--				
mempersonalisasi	13	mempersonalisasi<x>_X--				
mempertangungjawabkan	13	mempertangungjawabkan<x>_X--				
diperasikan	12	diperasikan<x>_X--				
diperbutkan	12	diperbutkan<x>_X--				
diperioritaskan	12	diperioritaskan<x>_X--				
diperkampungan	12	diperkampungan<x>_X--				
diperkuliahan	12	diperkuliahan<x>_X--				
diperlintasan	12	diperlintasan<x>_X--				
memperhatiakn	12	memperhatiakn<x>_X--				
memperhitungan	12	memperhitungan<x>_X--				
memperoduksi	12	memperoduksi<x>_X--				
diperbincangan	11	diperbincangan<x>_X--				
dipertempuran	11	dipertempuran<x>_X--				
dipertimbangakan	11	dipertimbangakan<x>_X--				
memperingkatkan	11	memperingkatkan<x>_X--				
mempertahanakan	11	mempertahanakan<x>_X--				
mempertahanan	11	mempertahanan<x>_X--				
diperindagkop	10	diperindagkop<x>_X--				
diperngaruhi	10	diperngaruhi<x>_X--				
dipersendian	10	dipersendian<x>_X--				
mempereteli	10	mempereteli<x>_X--				
memperkejakan	10	memperkejakan<x>_X--				
diperbicangkan	9	diperbicangkan<x>_X--				
diperkirakaan	9	diperkirakaan<x>_X--				
dipersonalisasi	9	dipersonalisasi<x>_X--				
mempergoki	9	mempergoki<x>_X--				
memperkanalkan	9	memperkanalkan<x>_X--				
memperkenalan	9	memperkenalan<x>_X--				
memperkiraan	9	memperkiraan<x>_X--				
diperanin	8	diperanin<x>_X--				
diperapian	8	diperapian<x>_X--				
dipercaturan	8	dipercaturan<x>_X--				
diperkiarakan	8	diperkiarakan<x>_X--				
diperlakuan	8	diperlakuan<x>_X--				
diperloleh	8	diperloleh<x>_X--				
memperaktekkan	8	memperaktekkan<x>_X--				
memperantarai	8	memperantarai<x>_X--				
memperomosikan	8	memperomosikan<x>_X--				
mempertahanka	8	mempertahanka<x>_X--				
mempertanyaan	8	mempertanyaan<x>_X--				
diperbaruhi	7	diperbaruhi<x>_X--				
diperdagangakan	7	diperdagangakan<x>_X--				
diperdagangankan	7	diperdagangankan<x>_X--				
diperkiraka	7	diperkiraka<x>_X--				
diperoduksi	7	diperoduksi<x>_X--				
dipersembahan	7	dipersembahan<x>_X--				
diperuntuk	7	diperuntuk<x>_X--				
memperbicangkan	7	memperbicangkan<x>_X--				
memperhatinkan	7	memperhatinkan<x>_X--				
memperingatan	7	memperingatan<x>_X--				
memperintahkan	7	memperintahkan<x>_X--				
memperjuangankan	7	memperjuangankan<x>_X--				
memperkasakan	7	memperkasakan<x>_X--				
memperlekehkan	7	memperlekehkan<x>_X--				
memperotes	7	memperotes<x>_X--				
mempersentasekan	7	mempersentasekan<x>_X--				
mempersolek	7	mempersolek<x>_X--	y	solek	mem	mempersolek
terpermanai	7	terpermanai<x>_X--				
diperediksi	6	diperediksi<x>_X--				
diperiksan	6	diperiksan<x>_X--				
diperkantoran	6	diperkantoran<x>_X--				
diperkirankan	6	diperkirankan<x>_X--				
diperkitakan	6	diperkitakan<x>_X--				
diperlajari	6	diperlajari<x>_X--				
diperluakan	6	diperluakan<x>_X--				
dipermaklumkan	6	dipermaklumkan<x>_X--				
dipermulaan	6	dipermulaan<x>_X--				
diperpanjangan	6	diperpanjangan<x>_X--				
dipersonifikasi	6	dipersonifikasi<x>_X--				
dipertahanan	6	dipertahanan<x>_X--				
dipertahut	6	dipertahut<x>_X--				
dipertanggungjawaban	6	dipertanggungjawaban<x>_X--				
dipertanggungjawabk	6	dipertanggungjawabk<x>_X--				
dipertanggunjawabkan	6	dipertanggunjawabkan<x>_X--				
dipertelakan	6	dipertelakan<x>_X--				
dipertontokan	6	dipertontokan<x>_X--				
memperbaikai	6	memperbaikai<x>_X--				
memperbaruhi	6	memperbaruhi<x>_X--				
mempercai	6	mempercai<x>_X--				
mempercapat	6	mempercapat<x>_X--	y	cepat	mem	mempercepat
memperhatika	6	memperhatika<x>_X--				
memperiapkan	6	memperiapkan<x>_X--				
memperindag	6	memperindag<x>_X--				
memperingatai	6	memperingatai<x>_X--				
memperkenalakan	6	memperkenalakan<x>_X--				
memperlihatan	6	memperlihatan<x>_X--				
mempermasalahan	6	mempermasalahan<x>_X--				
mempertanggunjawabkan	6	mempertanggunjawabkan<x>_X--				
terperosot	6	terperosot<x>_X--				
terpersona	6	terpersona<x>_X--				
dipercikan	5	dipercikan<x>_X--				
diperdesaan	5	diperdesaan<x>_X--				
diperluakn	5	diperluakn<x>_X--				
diperlukaan	5	diperlukaan<x>_X--				
dipersuasi	5	dipersuasi<x>_X--				
dipersyaratan	5	dipersyaratan<x>_X--				
dipertujukkan	5	dipertujukkan<x>_X--				
dipertundjukkan	5	dipertundjukkan<x>_X--				
memperbaikin	5	memperbaikin<x>_X--				
memperelok	5	memperelok<x>_X--	y	elok	mem	memperelok
memperhatiakan	5	memperhatiakan<x>_X--				
memperhtikan	5	memperhtikan<x>_X--				
memperingari	5	memperingari<x>_X--				
mempersona	5	mempersona<x>_X--				
mempersonalisasikan	5	mempersonalisasikan<x>_X--				
mempertanggungjawaban	5	mempertanggungjawaban<x>_X--				
memperthankan	5	memperthankan<x>_X--				
mempertimbagkan	5	mempertimbagkan<x>_X--				
mempertontokan	5	mempertontokan<x>_X--				
terperbaharui	5	terperbaharui<x>_X--				
diperaktekkan	4	diperaktekkan<x>_X--				
diperbagai	4	diperbagai<x>_X--				
diperbandingan	4	diperbandingan<x>_X--				
dipercetakan	4	dipercetakan<x>_X--				
diperdendangkan	4	diperdendangkan<x>_X--				
diperdiksi	4	diperdiksi<x>_X--				
diperguncingkan	4	diperguncingkan<x>_X--				
diperhatiakan	4	diperhatiakan<x>_X--				
diperhatika	4	diperhatika<x>_X--				
diperindagtamben	4	diperindagtamben<x>_X--				
diperjuangankan	4	diperjuangankan<x>_X--				
diperksa	4	diperksa<x>_X--				
dipermainan	4	dipermainan<x>_X--				
dipermasalahan	4	dipermasalahan<x>_X--				
